region,clinic_visit_week,lag_start,lag_end,rainfall_lagged_mm
Geita,2023-10-28,2023-09-16,2023-10-14,79.1
Geita,2023-11-04,2023-09-23,2023-10-21,72.89
Geita,2023-11-11,2023-09-30,2023-10-28,66.42
Geita,2023-11-18,2023-10-07,2023-11-04,135.61
Geita,2023-11-25,2023-10-14,2023-11-11,162.31
Geita,2023-12-02,2023-10-21,2023-11-18,168.56
Geita,2023-12-09,2023-10-28,2023-11-25,228.57
Geita,2023-12-16,2023-11-04,2023-12-02,246.11
Geita,2023-12-23,2023-11-11,2023-12-09,260.64
Geita,2023-12-30,2023-11-18,2023-12-16,278.14
Kagera,2022-01-01,2021-11-20,2021-12-18,162.05
Kagera,2022-01-08,2021-11-27,2021-12-25,170.85
Kagera,2022-01-15,2021-12-04,2022-01-01,191.72
Kagera,2022-01-22,2021-12-11,2022-01-08,185.9
Kagera,2022-01-29,2021-12-18,2022-01-15,159.73
Kagera,2022-02-05,2021-12-25,2022-01-22,179.62
Kagera,2022-02-12,2022-01-01,2022-01-29,146.35
Kagera,2022-02-19,2022-01-08,2022-02-05,187.86
Kagera,2022-02-26,2022-01-15,2022-02-12,235.33
Kagera,2022-03-05,2022-01-22,2022-02-19,240.82
Kagera,2022-03-12,2022-01-29,2022-02-26,309.36
Kagera,2022-03-19,2022-02-05,2022-03-05,272.92
Kagera,2022-03-26,2022-02-12,2022-03-12,230.2
Kagera,2022-04-02,2022-02-19,2022-03-19,186.0
Kagera,2022-04-09,2022-02-26,2022-03-26,140.77
Kagera,2022-04-16,2022-03-05,2022-04-02,182.29
Kagera,2022-04-23,2022-03-12,2022-04-09,188.11
Kagera,2022-04-30,2022-03-19,2022-04-16,189.04
Kagera,2022-05-07,2022-03-26,2022-04-23,223.69
Kagera,2022-05-14,2022-04-02,2022-04-30,261.87
Kagera,2022-05-21,2022-04-09,2022-05-07,281.17
Kagera,2022-05-28,2022-04-16,2022-05-14,276.5
Kagera,2022-06-04,2022-04-23,2022-05-21,195.54
Kagera,2022-06-11,2022-04-30,2022-05-28,123.75
Kagera,2022-06-18,2022-05-07,2022-06-04,133.22
Kagera,2022-06-25,2022-05-14,2022-06-11,103.62
Kagera,2022-07-02,2022-05-21,2022-06-18,99.79
Kagera,2022-07-09,2022-05-28,2022-06-25,60.26
Kagera,2022-07-16,2022-06-04,2022-07-02,9.45
Kagera,2022-07-23,2022-06-11,2022-07-09,7.47
Kagera,2022-07-30,2022-06-18,2022-07-16,5.37
Kagera,2022-08-06,2022-06-25,2022-07-23,0.08
Kagera,2022-08-13,2022-07-02,2022-07-30,0.66
Kagera,2022-08-20,2022-07-09,2022-08-06,21.63
Kagera,2022-08-27,2022-07-16,2022-08-13,21.65
Kagera,2022-09-03,2022-07-23,2022-08-20,62.24
Kagera,2022-09-10,2022-07-30,2022-08-27,66.99
Kagera,2022-09-17,2022-08-06,2022-09-03,81.23
Kagera,2022-09-24,2022-08-13,2022-09-10,91.59
Kagera,2022-10-01,2022-08-20,2022-09-17,81.87
Kagera,2022-10-08,2022-08-27,2022-09-24,102.84
